# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Lite Edition
# File: /home/plreis/projetosfpga/atividade3/atividade3.csv
# Generated on: Sun Apr 12 15:40:24 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
hex0[7],Output,,,,PIN_AB8,,,,,,
hex0[6],Output,,,,PIN_C11,,,,,,
hex0[5],Output,,,,PIN_A10,,,,,,
hex0[4],Output,,,,PIN_A9,,,,,,
hex0[3],Output,,,,PIN_D12,,,,,,
hex0[2],Output,,,,PIN_A11,,,,,,
hex0[1],Output,,,,PIN_J11,,,,,,
hex0[0],Output,,,,PIN_B8,,,,,,
hex1[7],Output,,,,PIN_AB9,,,,,,
hex1[6],Output,,,,PIN_K8,,,,,,
hex1[5],Output,,,,PIN_C1,,,,,,
hex1[4],Output,,,,PIN_K9,,,,,,
hex1[3],Output,,,,PIN_D1,,,,,,
hex1[2],Output,,,,PIN_D3,,,,,,
hex1[1],Output,,,,PIN_L2,,,,,,
hex1[0],Output,,,,PIN_D2,,,,,,
sw[7],Input,PIN_A14,7,B7_N0,PIN_J3,,,,,,
sw[6],Input,PIN_A13,7,B7_N0,PIN_E1,,,,,,
sw[5],Input,PIN_B12,7,B7_N0,PIN_F2,,,,,,
sw[4],Input,PIN_A12,7,B7_N0,PIN_K5,,,,,,
sw[3],Input,PIN_C12,7,B7_N0,PIN_B12,,,,,,
sw[2],Input,PIN_D12,7,B7_N0,PIN_A7,,,,,,
sw[1],Input,PIN_C11,7,B7_N0,PIN_H12,,,,,,
sw[0],Input,PIN_C10,7,B7_N0,PIN_B11,,,,,,
